"分类","卡牌名称","代码类名","费用","类型","稀有度","关键词或属性","代码实际逻辑","升级效果","风险或备注","审核状态"
"初始卡","切割构件","KillerFactoryStrike","1","攻击","基础","永久构件；脆弱构件","对单体造成6点伤害，再结算融锻效果","伤害6→9","第一次加工成功；第二次加工前损坏且本次加工不生效",""
"初始卡","防护构件","KillerFactoryDefend","1","技能","基础","永久构件；脆弱构件","获得5点格挡，再结算融锻效果","格挡5→8","第一次加工成功；第二次加工前损坏且本次加工不生效",""
"初始卡","手工装配","ManualAssembly","1","技能","基础","工序","依次选择主体和材料；材料效果融入主体，普通主体费用相加，材料进入消耗区","先分别升级主体与材料再融锻；自身仍为1费","加工台先完成融锻，再检查递归加工触发",""
"基础构件","过载冲头","OverloadPunch","1","攻击","普通","永久构件；脆弱构件","对单体造成12点伤害，再结算融锻效果","伤害12→18","第一次加工成功；第二次加工前损坏且本次加工不生效",""
"基础构件","高频切割器","HighFrequencyCutter","2","攻击","罕见","永久构件","对单体造成4点伤害3次，再结算融锻效果","每段伤害4→5","",""
"原料循环","地面勘探","GroundExploration","1","技能","普通","永久构件","生成1张机械原料到手牌，获得5点格挡，再结算融锻效果","格挡5→8","手牌满时生成牌改进弃牌堆",""
"原料循环","生物切除","BiologicalExcision","1","攻击","普通","永久构件","造成4点伤害；目标生命值实际下降时生成1张化合原料到手牌，再结算融锻效果","伤害4→6；原料1→2","判定是生命值下降，不是直接读取未格挡伤害事件",""
"原料循环","积攒","Accumulate","2","技能","普通","永久构件","获得12点格挡；向抽牌堆加入2张机械原料和2张化合原料，再结算融锻效果","格挡12→16；两类原料各2→3","生成牌的具体插入位置由牌堆命令决定",""
"原料循环","手制刀片","HandcraftedBlade","1","技能","普通","无","自动消耗手牌中最先找到的2张机械原料，生成1张往返刀片到手牌","生成升级后的往返刀片","原料不足时本牌仍被打出但无效果；不可手选原料",""
"原料循环","化合加护","CompoundProtection","1","技能","普通","无","自动消耗手牌中最先找到的1张化合原料，生成1张缓冲板到手牌","生成升级后的缓冲板","原料不足时本牌仍被打出但无效果；不可手选原料",""
"原料循环","万能置换","UniversalReplacement","0","技能","罕见","永久构件","选择1张其他手牌，将其直接转化为万能原料，再结算融锻效果","选择数量1→2；获得保留","变换目标不限构件",""
"回收","计划报废","PlannedObsolescence","0","技能","普通","消耗","选择1张手牌构件并转化为废料，获得等于该构件当前费用的能量","移除消耗；获得保留","0费目标不会获得能量",""
"回收","回收工单","RecyclingWorkOrder","0","技能","普通","无","选择并消耗1张手牌废料，获得1点能量并抽2张牌","能量1→2","没有废料或取消选择时无效果",""
"第一阶段奖励","原料配给","MaterialRation","1","技能","普通","永久构件","强制选择生成1张机械原料或化合原料到手牌，获得4点格挡，再结算融锻效果","费用1→0","",""
"第一阶段奖励","热能熔炼","ThermalSmelting","1","技能","普通","无","可取消选择1张手牌废料并移入消耗区；生成1张万能原料并抽1张牌","费用1→0","无废料或取消时整张牌无后续效果",""
"第一阶段奖励","热能核心","ThermalCore","0","技能","普通","永久构件","随机消耗1张手牌原料或废料；普通目标回1点能量，万能原料回2点，再结算融锻效果","随机目标改为手动选择","目标筛选依赖原料关键词或废料类型",""
"第一阶段奖励","快速装填","QuickLoad","0","技能","罕见","一次性构件；消耗","抽3张牌，再结算融锻效果","抽牌3→4","高效结构对正常消耗路径没有生效",""
"第一阶段奖励","紧急卸载","EmergencyUnload","2","技能","普通","永久构件","按打出后当前其余手牌数量，每张获得3点格挡，再结算融锻效果","每张格挡3→4","动态修改卡牌格挡基础值",""
"第一阶段奖励","折叠护板","FoldedShield","1","技能","普通","永久构件；脆弱构件","获得9点格挡，再结算融锻效果","格挡9→12","第一次加工成功；第二次加工前损坏且本次加工不生效",""
"第一阶段奖励","复层装甲","LayeredArmor","2","技能","罕见","永久构件","获得13点格挡，再结算融锻效果","格挡13→17","",""
"工序","标准升级","StandardUpgrade","1","技能","普通","工序","选择手牌中可升级构件并执行标准升级，记录1次加工","费用1→0","手动打出不使用投料；加工台执行消耗万能原料×1",""
"工序","轻量化","Lightweighting","1","技能","普通","工序","选择手牌中当前费用大于0的构件，使当前基础费用永久降低1并记录1次加工，最低0","费用1→0","手动打出不使用投料；加工台执行消耗化合原料×1",""
"生成构件","精密切割核心","PrecisionCuttingCore","1","攻击","状态","精密构件；永久构件","对单体造成6点伤害，再结算融锻效果","伤害6→9","不进入普通奖励池",""
